Organization Name,Date you began work,Type,Status,City,Major,College,Degree,Major2,Date work ends,State,Zip+4,New Job Title
NYC Human Resources Administration (HRA),6/4/2018,Client Service/Tech Support,Working,Manhattan,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,10001-5614,Legacy systems support intern
NYC Department of Education (DOE),1/21/2020,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11226,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11223,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),3/4/2019,,Working,Bronx,Accounting,Borough of Manhattan Community College,AA,Business Administration ,,New York,10461,
NYC Department of Education (DOE),8/4/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,10456,Tech Support Intern
NYC Human Resources Administration (HRA),10/20/2018,Network Administration,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,AAS,Computer Info Systems ,,New York,11229,.NET/SQL Programmer Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",Brooklyn College,BS,Information Systems ,,New York,11434,Tech Support Intern
NYC Department of Education (DOE),9/17/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Medgar Evers College,BS,Computer Science ,,New York,11226,Tech Support Intern
DEP,8/22/2017,Application Development,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11416,Web Developer Intern
NYC Human Resources Administration (HRA),11/3/2018,Network Administration,Working,Other New York,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11554,Helpdesk/Desktop Support
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Information Systems/Science,College of Staten Island,BS,Info Systems & Informatics ,,New York,10012,Tech Support Intern
NYC Department of Education (DOE),9/24/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11212,Tech Support Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,,Non Degree Undergraduate,,New York,11233,Tech Support Intern
NYC Department of Education (DOE),12/17/2019,Client Service/Tech Support,Working,Manhattan,"Computer Engineering Technology, Environmental and/or Ecology Studies, Environmental Design",City College,BS,Environmental Science ,,New York,10026,DOE Tech Intern
NYC Department of Education (DOE),12/3/2019,Client Service/Tech Support,Employed,Brooklyn,Liberal Studies,College of Staten Island,BTECH,Computer Systems ,,New York,11207,Office of School Health Technology Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Other New York,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11590,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11214,Tech Support Intern
NYC Administration for Children's Services (ACS),3/26/2018,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BE,Electrical Engr ,,New York,11214,IT Services Desk Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Electrical,City College,,,,New York,11355,Tech Support Intern
NYC Department of Education (DOE),1/20/2020,Client Service/Tech Support,Working,Brooklyn,"Computer Science, Mathematics",New York City College of Technology,BS,Applied Mathematics ,,New York,11233,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Data/Digital Services,Working,Queens,Mathematics,Baruch College,BS,Mathematics,,New York,11354,DSS – HRA - Human Capital Management
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Science",Hunter College,BA,Computer Science ,,New York,11373,Tech Support Intern
CUNY 311 Project,7/8/2019,Customer Service,Working,Brooklyn,Liberal Studies,Brooklyn College,BTECH,Computer Engineer Tech ,,New York,11203,Student Call Taker
NYC Human Resources Administration (HRA),4/1/2019,Data Analytics,Working,Brooklyn,Management,Queensborough Community College,AS,Business Administration ,,New York,11230,IT Contract Analyst
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Policy/Program Analysis,Working,Queens,Political Science,City College,BA,Internat Studies ,,New York,11105,DCAS - Fleet/Fleet Office of Real Time Tracking
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Queens,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11421,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Queens,Economics,Queens College,BA,Economics ,,New York,11365,DEP - BWSO Budget & Procurement Unit 
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Queens,Computer Engineering Technology,LaGuardia Community College,AAS,Computer Technology ,,New York,11354,Tech Support Intern
NYC Department of Education (DOE),10/28/2019,Client Service/Tech Support,Working,New Jersey,Computer Science,City College,MS,Computer Science,,New Jersey,7013,DOE Tech Intern
NYC Department of Education (DOE),10/28/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11214,Tech Support Intern
CUNY 311 Project,8/5/2019,Customer Service,Working,Queens,"Physician Assistant, Public Health",Brooklyn College,BS,Health and Nutrition Sci ,,New York,11421,Student Call Taker
NYC Department of Education (DOE),10/17/2019,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11419,Tech Support Intern
NYC Department of Education (DOE),10/14/2019,Client Service/Tech Support,Working,Queens,Computer Science,York College,BS,Computer Science ,,New York,11370,Tech Support Intern
Mayors Office of Housing Recovery Operations (HRO),3/11/2019,Software Development,Working,Manhattan,Computer Science,Brooklyn College,BS,Computer Science ,,New York,10035,Software Developer Intern
NYC Department of Transportation (DOT),7/22/2019,Data/Digital Services,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11209,DOT - IT & Telecom/GIS
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11233,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11206,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Queens,Electrical,LaGuardia Community College,BE,Electrical Engr ,,New York,11432,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Finance/Procurement ,Working,Other New York,Management,Brooklyn College,BBA,Business Administration ,,New York,11580,DCAS - Office of Citywide Procurement
NYC Human Resources Administration (HRA),2/1/2016,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,10467,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Working,Other New York,Public Policy,Baruch College,BS,Public Affairs ,,New York,10526,Student Call Taker
CUNY 311 Project,1/6/2020,Customer Service,Working,Queens,Computer Science,City College,BBA,Computer Information Sys ,,New York,11434,Student Call Taker
NYC DoITT,7/10/2017,Network Administration,Working,Manhattan,Computer Information Systems/Science,Borough of Manhattan Community College,BTECH,Computer Systems ,,New York,10029,Windows Administration
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Other New York,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10606,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Bronx,"Computer Information Systems/Science, Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,10456,Tech Support Intern
NYC Department of Education (DOE),1/15/2020,Client Service/Tech Support,Employed,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10009,Tech Support Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Brooklyn,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11213,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Finance/Procurement ,Working,Bronx,Accounting,Lehman College,BBA,Business Administration ,,New York,10472,DCAS - Office of Citywide Procurement
NYC Department of Education (DOE),1/29/2020,Client Service/Tech Support,Working,Staten Island,Computer Science,College of Staten Island,,Non Degree Undergraduate,,New York,10303,Tech Support Intern
NYC Department of Education (DOE),12/4/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11204,DOE Tech Intern
NYC Department of Citywide Administrative Services (DCAS),10/15/2019,Mobile Development/Support,Working,Other New York,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11714,Intern
NYC Department of Education (DOE),12/18/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11226,IPDVS Intern
NYC Department of Citywide Administrative Services (DCAS),1/28/2019,,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11418,Help Desk Tehcnician
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11235,Tech Support Intern
NYC Department of Correction (DOC),8/21/2018,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10469,IT Helpdesk Telephone Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Employed,Bronx,Computer Systems Technology,Bronx Community College,AAS,Computer Info Systems ,,New York,10451,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Employed,Brooklyn,Psychology,Hunter College,BA,Psychology ,,New York,11208,Student Call Taker
NYC Department of Correction (DOC),3/13/2017,Client Service/Tech Support,Working,Bronx,Political Science,John Jay College of Criminal Justice,BA,Political Science ,,New York,10459,IT Helpdesk Telephone Support Intern
NYC Department of Education (DOE),11/18/2019,Software Development,Employed,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10306,Assistive Technology Intern
CUNY 311 Project,7/31/2017,Customer Service,Working,Brooklyn,Psychology,Brooklyn College,BS,MHC Psychology ,,New York,11201,Student Call Taker
NYC Human Resources Administration (HRA),12/17/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10456,Desktop Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,Borough of Manhattan Community College,AAS,Computer Information Sys ,,New York,11102,Tech Support Intern
NYC Department of City Planning (DCP),1/27/2020,Client Service/Tech Support,Working,Manhattan,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,10013,IT Services Support Intern
NYC Department of Education (DOE),12/17/2018,Network Administration,Working,Other New York,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11101,Network Services Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,10465,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Education,Macaulay Honors College,BA,MHC Mathematics 7-12 ,,New York,11362,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Employed,Bronx,Psychology,John Jay College of Criminal Justice,BA,Forensic Psychology ,,New York,10468,Student Call Taker
NYC Department of Small Business Services (SBS),1/22/2018,Client Service/Tech Support,Working,Manhattan,Computer Science,Borough of Manhattan Community College,AS,Computer Science ,,New York,10025,Services Support Desk Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Medgar Evers College,,,,New York,11226,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11214,Tech Support Intern
NYC Human Resources Administration (HRA),12/17/2019,Business Analysis,Working,Bronx,Computer Information Systems/Science,John Jay College of Criminal Justice,,,,New York,10464,IT Contract Analyst
NYC Department of Education (DOE),12/4/2019,Client Service/Tech Support,Working,Brooklyn,Computer Engineering,City College,BE,Computer Engr ,,New York,11214,DOE CUNY Tech Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Science,Bronx Community College,AS,Computer Science ,,New York,10466,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Employed,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11418,Tech Support Intern
NYC Department of Education (DOE),8/19/2019,Network Administration,Employed,Manhattan,"Computer Information Systems/Science, Liberal Studies",New York City College of Technology,BTECH,Computer Systems ,,New York,10009,Network Operations Center Intern
NYC Department of Education (DOE),1/27/2020,Client Service/Tech Support,End of Appointment,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10002,Tech Support Intern
NYC Department of Education (DOE),6/11/2019,Application Development,Employed,Other New York,"Computer Information Systems/Science, Communications",York College,BS,Communications Technology ,,New York,11021,Assistive Technology Intern
NYC Department of Correction (DOC),1/7/2019,,Working,Queens,Architecture/Landscape Arch/Urban Planning,New York City College of Technology,BTECH,Architectural Tech ,,New York,11421,
NYC Human Resources Administration (HRA),1/12/2015,Application Development,Working,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10314,Application Development Fellow
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Employed,Queens,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11421,Tech Support Intern
NYC Human Resources Administration (HRA),10/13/2018,Software Development,Working,Brooklyn,Computer Science,New York City College of Technology,AS,Computer Science ,,New York,11221,Junior .NET Software Developer
Civil Service Pathways Fellowship ,1/22/2019,Policy/Program Analysis,Working,Queens,"Liberal Studies, Library Sciences/Information Science",City College,MPA,Public Administration,,New York,11432,Human Capital – Civil Service Administration (Civil Service Transactions)
NYC Department of Education (DOE),1/9/2020,Client Service/Tech Support,Employed,Queens,Computer Information Systems/Science,Queensborough Community College,AS,Comp Sci & Info Sec JJC ,,New York,11412-1939,Tech Support Intern
NYC Taxi and Limousine Commission (TLC),7/2/2018,Customer Service,Working,Brooklyn,Public Health,York College,BS,Community Health Education ,,New York,11208,TLC Admin
NYC Taxi and Limousine Commission (TLC),2/11/2020,Administrative,Working,Brooklyn,Psychology,Brooklyn College,BS,Psychology ,,New York,11229,Case examiner intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11219,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Staten Island,Finance,Baruch College,BBA,Finance ,,New York,10305,DOE - Division of Contracts and Purchasing
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11223,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11214,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Queens,Computer Science,York College,BS,Computer Science ,,New York,11434,Tech Support Intern
NYC Taxi and Limousine Commission (TLC),2/10/2020,Administrative,Working,Queens,Psychology,John Jay College of Criminal Justice,MSED,School Psychologist,,New York,11377,Case Examiner Intern
NYC Human Resources Administration (HRA),11/27/2018,Business Analysis,Working,New Jersey,Computer Science,City College,MS,Computer Science,,New Jersey,07306-3123,Junior Business Analyst
CUNY 311 Project,1/6/2020,Customer Service,Working,Brooklyn,"Biological Sciences, Philospohy",Brooklyn College,BS,Biology ,,New York,11208,Student Call Taker
CUNY 311 Project,8/5/2019,Customer Service,Working,Queens,Nursing,LaGuardia Community College,AAS,Nursing ,,New York,11412,Student Call Taker
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Science,Lehman College,BS,Computer Science ,,New York,10453,Tech Support Intern
NYC DoITT,7/15/2019,Geographic Information Systems (GIS),Working,Queens,"Computer Information Systems/Science, Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11420,IT Info Security
NYC Department of Education (DOE),11/1/2019,Software Development,Employed,Queens,Computer Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11377,Assistive Technology Intern
NYC Human Resources Administration (HRA),2/25/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Systems Technology,New York City College of Technology,,,,New York,11236-4214,Desktop Support Intern
CUNY 311 Project,7/31/2017,Customer Service,Working,Queens,Education,Queens College,BA,English 7-12 ,,New York,11436,Student Call Taker
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11220,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Bronx,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,10473,Tech Support Intern
NYC Department of Education (DOE),4/24/2017,Network Administration,Working,Manhattan,"Electrical, Mechanical",New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11223,Helpdesk/Desktop Support
NYC Department of Education (DOE),1/13/2020,Client Service/Tech Support,Working,Bronx,Computer Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,10472,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,NA,Computer Science,Kingsborough Community College,BS,Computer Science ,,,,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Brooklyn,"Electrical, Systems",New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11230,Tech Support Intern
NYC Department of Education (DOE),9/10/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10452,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,"Computer Engineering, Computer Engineering Technology",New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11414,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Manhattan,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,,Tech Support Intern
NYC Department of Education (DOE),9/13/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Engineering, Computer Engineering Technology",New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11214,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Working,Queens,English Language/Lit,City College,MFA,Creative Writing,,New York,11355,Student Call Taker
NYC Department of Education (DOE),12/9/2019,Finance/Procurement ,Working,New Jersey,"Finance, Management, Marketing",Baruch College,MBA,Business Administration,,New Jersey,7306,IT Finance and Procurement Operation Intern
NYC DoITT,9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,CUNY Graduate Center,MS,Data Science,,New York,11206,Enterprise Mobile Intern
NYC Department of Education (DOE),11/28/2018,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11236,Field Tech Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Brooklyn,Computer Engineering,New York City College of Technology,BTECH,Computer Systems ,,New York,11226,Tech Support Intern
CUNY 311 Project,8/5/2019,Customer Service,Working,Brooklyn,Liberal Studies,New York City College of Technology,BS,Human Services ,,New York,11226,Student Call Taker
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11373,Tech Support Intern
NYC Department of Education (DOE),1/20/2020,Client Service/Tech Support,Working,Other New York,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10701,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,LaGuardia Community College,AAS,Programming/Software Dev ,,,,Tech Support Intern
NYC Department of Education (DOE),2/24/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11236,Tech Support Intern
NYC Department of Education (DOE),9/11/2019,Client Service/Tech Support,Working,Other New York,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11001,Tech Support Intern
NYC Human Resources Administration (HRA),7/30/2018,Client Service/Tech Support,Working,Queens,Computer Engineering,City College,BE,Computer Engr ,,New York,11372,Helpdesk/Desktop Support
NYC Department of Health and Mental Hygiene (DOH),12/2/2019,Communications,Working,Bronx,"Ethnic and/or Regional Studies, Psychology, Public Health",City College,BA,Internat Studies ,,New York,10468,Viral Hepatitis Capacity Building Intern
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,LaGuardia Community College,AAS,Network Admin & Info Sec ,,New York,11104,Tech Support Intern
NYC Taxi and Limousine Commission (TLC),2/10/2020,Administrative,Employed,Queens,Sociology,John Jay College of Criminal Justice,BA,Law and Society ,,New York,11372,Case Examiner Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11235,Tech Support Intern
NYC Human Resources Administration (HRA),1/27/2020,Client Service/Tech Support,Employed,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11373,IT Server Support Specialist 
NYC Department of Education (DOE),9/16/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11230,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),10/22/2019,Cybersecurity,Working,Queens,Computer Science,John Jay College of Criminal Justice,,,,New York,11104,Cyber Security Analyst
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Queens,Computer Science,Hunter College,BA,Computer Science ,,New York,11377,Tech Support Intern
NYC Department of Education (DOE),12/4/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,AAS,Computer Info Systems ,,New York,11206,DOE Tech Intern
NYC Human Resources Administration (HRA),10/2/2017,Network Administration,Working,Staten Island,Computer Systems Technology,New York City College of Technology,,Non Degree Undergraduate,,New York,10312,HRA - Fellow
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10454,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10025,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Other New York,Computer Science,Brooklyn College,MA,Computer Science ,,New York,11570,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11233,Tech Support Intern
NYC Employees Retirement System (NYCERS),7/25/2018,,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11233,Analytics Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Queens,Finance,Baruch College,BBA,Finance ,,New York,11434,DEP - CFO/Executive Administration 
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10314,Tech Support Intern
NYC DoITT,11/18/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11367,Enterprise Tech Support
NYC Department of Education (DOE),9/10/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11225,Tech Support Intern
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,NA,Computer Science,City College,MS,Computer Science,,,,Tech Support Intern
NYC Department of Education (DOE),8/30/2017,Client Service/Tech Support,Working,NA,Computer Science,City College,BTECH,Computer Systems ,,,,Tech Support Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,New York City College of Technology,,,,New York,11368,Tech Support Intern
CUNY 311 Project,7/5/2016,Customer Service,Working,Bronx,Communications,Borough of Manhattan Community College,BA,Business Communications ,,New York,10466,Student Call Taker
CUNY 311 Project,1/6/2020,Customer Service,Working,Brooklyn,"English Language/Lit, Psychology",Baruch College,BA,Psychology ,,New York,11201,Student Call Taker
CUNY 311 Project,8/5/2019,Customer Service,Working,Manhattan,Psychology,City College,BA,Psychology ,,New York,10002,Student Call Taker
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11221,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11694,Tech Support Intern
NYC Human Resources Administration (HRA),1/1/2020,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10035,HRA Fellow
CUNY 311 Project,8/5/2019,Customer Service,Working,Brooklyn,"Biomedical, Music, Marketing",Hunter College,BA,Economics ,,New York,11235,Student Call Taker
NYC Department of Education (DOE),11/25/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Science",Hunter College,BA,Computer Science ,,New York,11416,Tech Support Intern
Civil Service Pathways Fellowship ,7/22/2019,Finance/Procurement ,Working,Brooklyn,Finance,Baruch College,BBA,Finance ,,New York,11214,FDNY - Bureau of Fiscal Services/MWBE Unit
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11365,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Engineering,City College,BE,Computer Engr ,,New York,10472,Tech Support Intern
NYC DoITT,3/19/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Engineering Technology, Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11218,DoITT CityWide Services Desk Agent
CUNY 311 Project,7/9/2018,Customer Service,Working,Queens,"Biological Sciences, Psychology",City College,AS,Liberal Arts Math and Sci ,,New York,11421,Student Call Taker
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,NA,Electrical,City College,,,,,,Tech Support Intern
Mayors Office of Housing Recovery Operations (HRO),8/27/2018,Client Service/Tech Support,Working,Queens,Computer Engineering Technology,New York City College of Technology,MS,Digital Frnsc Cyc,,New York,11423,Data Analyst Intern
NYC Department of Correction (DOC),7/22/2019,Finance/Procurement ,Working,Queens,Psychology,York College,ADVCERPB,Research Compliance ACB,,New York,11378,DOC - IT Division/Procurement and Budget
NYC Department of Education (DOE),7/16/2018,Network Administration,Working,Brooklyn,Finance,City College,BBA,Finance ,,New York,11219,Networking/Infrastructure/Security
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11237,Tech Support Intern
NYC Department of Transportation (DOT),7/22/2019,Finance/Procurement ,Working,Brooklyn,Political Science,Brooklyn College,BA,MHC Political Science ,,New York,11234,DOT - Grants and Fiscal Management/FTA Grants
